character_names,season,number_in_season,word_count
Bart Simpson,13,19,34.0
Bart Simpson,13,20,216.0
Bart Simpson,13,21,39.0
Bart Simpson,13,22,65.0
Bart Simpson,14,1,74.0
Bart Simpson,14,2,102.0
Bart Simpson,14,3,436.0
Bart Simpson,14,4,294.0
Bart Simpson,14,5,163.0
Bart Simpson,14,6,79.0
Bart Simpson,14,7,400.0
Bart Simpson,14,8,99.0
Bart Simpson,14,9,103.0
Bart Simpson,14,10,74.0
Bart Simpson,14,11,482.0
Bart Simpson,14,12,95.0
Bart Simpson,14,13,44.0
Bart Simpson,14,14,149.0
Bart Simpson,14,15,79.0
Bart Simpson,14,16,187.0
Bart Simpson,14,17,153.0
Bart Simpson,14,18,114.0
Bart Simpson,14,19,212.0
Bart Simpson,14,20,63.0
Bart Simpson,14,21,260.0
Bart Simpson,14,22,35.0
Bart Simpson,15,1,274.0
Bart Simpson,15,2,118.0
Bart Simpson,15,3,106.0
Bart Simpson,15,4,181.0
Bart Simpson,15,5,195.0
Bart Simpson,15,6,109.0
Bart Simpson,15,7,75.0
Bart Simpson,15,8,154.0
Bart Simpson,15,9,475.0
Bart Simpson,15,10,63.0
Bart Simpson,15,11,63.0
Bart Simpson,15,12,464.0
Bart Simpson,15,13,70.0
Bart Simpson,15,14,142.0
Bart Simpson,15,15,132.0
Bart Simpson,15,16,435.0
Bart Simpson,15,17,114.0
Bart Simpson,15,18,303.0
Bart Simpson,15,19,115.0
Bart Simpson,15,20,174.0
Bart Simpson,15,21,191.0
Bart Simpson,15,22,76.0
Bart Simpson,16,1,45.0
Bart Simpson,16,2,226.0
Bart Simpson,16,3,193.0
Bart Simpson,16,4,66.0
Bart Simpson,16,5,426.0
Bart Simpson,16,6,19.0
Bart Simpson,16,7,42.0
Bart Simpson,16,8,60.0
Bart Simpson,16,9,421.0
Bart Simpson,16,10,150.0
Bart Simpson,16,11,321.0
Bart Simpson,16,12,17.0
Bart Simpson,16,13,162.0
Bart Simpson,16,14,108.0
Bart Simpson,16,15,544.0
Bart Simpson,16,16,115.0
Bart Simpson,16,17,226.0
Bart Simpson,16,18,116.0
Bart Simpson,16,19,45.0
Bart Simpson,16,20,114.0
Bart Simpson,16,21,403.0
Bart Simpson,17,1,128.0
Bart Simpson,17,2,161.0
Bart Simpson,17,3,488.0
Bart Simpson,17,4,191.0
Bart Simpson,17,5,410.0
Bart Simpson,17,6,65.0
Bart Simpson,17,7,16.0
Bart Simpson,17,8,142.0
Bart Simpson,17,9,22.0
Bart Simpson,17,10,58.0
Bart Simpson,17,11,363.0
Bart Simpson,17,12,128.0
Bart Simpson,17,13,152.0
Bart Simpson,17,14,112.0
Bart Simpson,17,15,65.0
Bart Simpson,17,16,10.0
Bart Simpson,17,17,83.0
Bart Simpson,17,18,86.0
Bart Simpson,17,19,259.0
Bart Simpson,17,20,127.0
Bart Simpson,17,21,158.0
Bart Simpson,17,22,70.0
Bart Simpson,18,1,117.0
Bart Simpson,18,2,274.0
Bart Simpson,18,3,209.0
Bart Simpson,18,4,129.0
Bart Simpson,18,5,92.0
Bart Simpson,18,6,50.0
Bart Simpson,18,7,34.0
Bart Simpson,18,8,522.0
Bart Simpson,18,9,44.0
Bart Simpson,18,10,69.0
Bart Simpson,18,11,190.0
Bart Simpson,18,12,471.0
Bart Simpson,18,13,38.0
Bart Simpson,18,14,446.0
Bart Simpson,18,15,126.0
Bart Simpson,18,16,98.0
Bart Simpson,18,17,130.0
Bart Simpson,18,18,158.0
Bart Simpson,18,19,90.0
Bart Simpson,18,20,285.0
Bart Simpson,18,21,276.0
Bart Simpson,18,22,150.0
Bart Simpson,19,1,68.0
Bart Simpson,19,2,92.0
Bart Simpson,19,3,67.0
Bart Simpson,19,4,22.0
Bart Simpson,19,5,230.0
Bart Simpson,19,6,399.0
Bart Simpson,19,7,178.0
Bart Simpson,19,8,241.0
Bart Simpson,19,9,34.0
Bart Simpson,19,10,35.0
Bart Simpson,19,11,74.0
Bart Simpson,19,12,101.0
Bart Simpson,19,13,517.0
Bart Simpson,19,14,296.0
Bart Simpson,19,15,196.0
Bart Simpson,19,16,114.0
Bart Simpson,19,17,674.0
Bart Simpson,19,18,121.0
Bart Simpson,19,19,128.0
Bart Simpson,19,20,235.0
Bart Simpson,20,1,47.0
Bart Simpson,20,2,511.0
Bart Simpson,20,3,490.0
Bart Simpson,20,5,129.0
Bart Simpson,20,6,102.0
Bart Simpson,20,7,372.0
Bart Simpson,20,8,37.0
Bart Simpson,20,9,94.0
Bart Simpson,20,10,87.0
Bart Simpson,20,11,140.0
Bart Simpson,20,12,90.0
Bart Simpson,20,13,36.0
Bart Simpson,20,14,132.0
Bart Simpson,20,15,95.0
Bart Simpson,20,16,16.0
Bart Simpson,20,17,660.0
Bart Simpson,20,18,112.0
Bart Simpson,20,19,141.0
Bart Simpson,20,20,0.0
Bart Simpson,21,1,99.0
Bart Simpson,21,2,568.0
Bart Simpson,21,3,194.0
Bart Simpson,21,4,316.0
